"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2019 SP2)","2025-Mar-25 18:01 ± 1_12:51","0.08337","0.07437","8.19","8.19","24.0","42 m -   93 m","0"
"(2025 FD15)","2025-Mar-25 19:28 ± < 00:01","0.02193","0.02163","10.52","10.51","27.6","7.8 m -   18 m","0"
"(2025 FK2)","2025-Mar-25 23:14 ± < 00:01","0.03030","0.03020","3.51","3.48","26.8","11 m -   25 m","0"
"(2025 FR2)","2025-Mar-26 01:44 ± < 00:01","0.01815","0.01809","10.53","10.52","26.7","12 m -   27 m","0"
"(2025 FX11)","2025-Mar-26 05:38 ±    00:01","0.08949","0.08887","17.37","17.36","24.7","31 m -   69 m","0"
"(2014 TN17)","2025-Mar-26 11:34 ± < 00:01","0.03404","0.03404","21.47","21.46","21.5","130 m -  300 m","1"
"(2025 FZ15)","2025-Mar-26 15:03 ±    00:03","0.00111","0.00111","12.68","12.49","29.2","3.8 m -  8.6 m","0"
"(2025 FD20)","2025-Mar-26 16:50 ±    00:05","0.01402","0.01381","18.38","18.37","25.7","19 m -   42 m","0"
"(2025 FD2)","2025-Mar-26 19:20 ± < 00:01","0.01409","0.01404","8.94","8.92","27.5","8.4 m -   19 m","0"
"(2025 FZ14)","2025-Mar-26 21:04 ± < 00:01","0.00812","0.00810","11.39","11.36","26.2","15 m -   34 m","0"
"(2025 FY11)","2025-Mar-26 21:10 ± < 00:01","0.00333","0.00333","4.06","3.86","28.8","4.7 m -   10 m","0"
"(2025 FS5)","2025-Mar-26 22:09 ± < 00:01","0.04930","0.04906","21.11","21.11","24.2","39 m -   87 m","0"
"(2025 DW5)","2025-Mar-26 22:21 ± < 00:01","0.04231","0.04217","5.64","5.63","24.7","31 m -   70 m","0"
"(2025 GC)","2025-Mar-26 22:41 ± < 00:01","0.01243","0.01242","5.93","5.90","27.6","8.1 m -   18 m","0"
"(2025 FE18)","2025-Mar-26 23:45 ±    00:02","0.00242","0.00241","17.91","17.85","29.4","3.6 m -  8.0 m","0"
"(2025 FT12)","2025-Mar-27 02:44 ± < 00:01","0.01913","0.01911","8.79","8.78","24.9","28 m -   63 m","0"
"(2007 EJ88)","2025-Mar-27 06:28 ± < 00:01","0.04856","0.04856","25.85","25.85","23.6","50 m -  110 m","0"
"(2025 FO18)","2025-Mar-27 06:30 ± < 00:01","0.02626","0.02606","18.67","18.67","25.7","19 m -   43 m","0"
"(2025 FC4)","2025-Mar-27 07:59 ± < 00:01","0.02878","0.02848","11.39","11.38","25.8","18 m -   41 m","0"
"(2025 DV22)","2025-Mar-27 12:09 ± < 00:01","0.04235","0.04233","12.22","12.22","23.9","44 m -   99 m","0"
"(2025 FO6)","2025-Mar-27 13:43 ± < 00:01","0.00540","0.00539","12.53","12.49","27.5","8.5 m -   19 m","0"
"(2025 FA7)","2025-Mar-27 14:09 ± < 00:01","0.01313","0.01305","20.00","19.99","26.3","14 m -   32 m","0"
"(2025 GZ)","2025-Mar-27 14:58 ±    00:02","0.06340","0.06311","17.21","17.20","23.6","52 m -  120 m","0"
"(2025 FV12)","2025-Mar-28 01:31 ± < 00:01","0.00068","0.00068","10.87","10.50","30.2","2.5 m -  5.5 m","0"
"(2025 FQ11)","2025-Mar-28 03:05 ±    00:01","0.08372","0.08289","18.04","18.03","24.1","41 m -   91 m","0"
"(2025 FP20)","2025-Mar-28 09:10 ± < 00:01","0.02044","0.02033","18.17","18.17","25.4","22 m -   49 m","0"
"(2025 FB8)","2025-Mar-28 14:44 ± < 00:01","0.00079","0.00079","5.21","4.52","28.5","5.4 m -   12 m","1"
"(2016 GW221)","2025-Mar-28 16:23 ± < 00:01","0.07543","0.07543","7.82","7.81","24.8","30 m -   67 m","0"
"(2025 FY7)","2025-Mar-28 16:31 ± < 00:01","0.00267","0.00267","7.31","7.18","26.6","12 m -   28 m","1"
"(2025 FG6)","2025-Mar-28 18:28 ± < 00:01","0.00757","0.00756","6.01","5.96","28.6","5.1 m -   11 m","0"
"(2025 FM6)","2025-Mar-28 19:34 ± < 00:01","0.04254","0.04233","13.79","13.79","24.4","35 m -   78 m","0"
"(2025 FR17)","2025-Mar-28 22:11 ± < 00:01","0.01240","0.01237","11.46","11.44","26.3","14 m -   32 m","0"
"(2025 FS7)","2025-Mar-28 23:07 ±    00:04","0.04094","0.04069","6.03","6.02","26.4","14 m -   31 m","0"
"(2025 FZ1)","2025-Mar-29 04:21 ± < 00:01","0.01648","0.01643","9.45","9.43","26.9","11 m -   25 m","0"
"(2025 FC22)","2025-Mar-29 20:01 ± < 00:01","0.00268","0.00267","20.47","20.42","27.3","9.2 m -   21 m","0"
"(2025 EJ1)","2025-Mar-30 00:59 ± < 00:01","0.08753","0.08748","12.49","12.48","23.6","50 m -  110 m","0"
"(2025 FA4)","2025-Mar-30 08:34 ±    00:01","0.07054","0.06997","5.24","5.24","26.6","13 m -   29 m","0"
"(2025 FW11)","2025-Mar-30 10:10 ± < 00:01","0.01516","0.01510","12.00","11.99","25.9","18 m -   39 m","0"
"(2025 FR13)","2025-Mar-30 11:42 ± < 00:01","0.00891","0.00889","16.33","16.31","24.2","39 m -   86 m","1"
"(2020 VA4)","2025-Mar-30 15:06 ±    00:01","0.02971","0.02970","5.64","5.62","27.4","8.7 m -   19 m","0"
"(2025 FW7)","2025-Mar-30 15:07 ± < 00:01","0.05680","0.05640","17.66","17.66","23.4","56 m -  120 m","0"
"(2025 FG18)","2025-Mar-30 16:38 ± < 00:01","0.00998","0.00997","8.38","8.35","27.2","9.6 m -   21 m","0"
"(2025 GR)","2025-Mar-30 22:05 ± < 00:01","0.02185","0.02176","15.16","15.15","25.9","18 m -   40 m","0"
"(2025 FQ7)","2025-Mar-31 03:56 ± < 00:01","0.01911","0.01876","14.62","14.61","27.1","10 m -   23 m","0"
"(2025 GJ1)","2025-Mar-31 09:05 ± < 00:01","0.02788","0.02784","4.57","4.55","25.8","18 m -   41 m","0"
"(2025 FO20)","2025-Mar-31 10:21 ± < 00:01","0.02417","0.02405","4.66","4.63","26.6","13 m -   28 m","0"
"(2005 SL)","2025-Mar-31 14:26 ± < 00:01","0.03683","0.03683","9.56","9.55","22.4","88 m -  200 m","1"
"(2025 FS11)","2025-Mar-31 18:30 ±    00:02","0.04632","0.04602","12.50","12.49","25.1","26 m -   57 m","0"
"(2025 GO1)","2025-Mar-31 19:29 ± < 00:01","0.01957","0.01949","7.81","7.79","24.3","37 m -   83 m","0"
"(2025 FZ3)","2025-Mar-31 21:52 ± < 00:01","0.02161","0.02155","7.13","7.11","26.4","14 m -   31 m","0"
"(2025 FH21)","2025-Apr-01 05:12 ±    00:01","0.00768","0.00765","10.58","10.55","27.4","8.8 m -   20 m","0"
"(2025 FM7)","2025-Apr-01 07:28 ± < 00:01","0.09351","0.09337","7.05","7.04","24.8","29 m -   65 m","0"
"(2025 FC8)","2025-Apr-01 08:51 ±    00:15","0.05104","0.05061","7.57","7.56","26.7","12 m -   27 m","0"
"(2025 GO)","2025-Apr-01 09:13 ± < 00:01","0.02680","0.02672","8.32","8.31","25.9","18 m -   40 m","0"
"(2025 FC6)","2025-Apr-01 09:55 ± < 00:01","0.03024","0.03015","11.41","11.40","26.1","16 m -   37 m","0"
"(2025 FL7)","2025-Apr-01 11:36 ± < 00:01","0.03239","0.03231","8.74","8.73","26.2","15 m -   34 m","0"
"811221 (2022 FR3)","2025-Apr-01 13:19 ± < 00:01","0.01693","0.01693","7.44","7.42","22.6","81 m -  180 m","1"
"(2014 GJ1)","2025-Apr-01 18:14 ± < 00:01","0.09511","0.09511","5.89","5.88","24.2","38 m -   86 m","0"
"(2021 GN1)","2025-Apr-01 20:24 ±    12:20","0.07407","0.04208","13.90","13.89","26.4","14 m -   31 m","0"
"(2025 GA)","2025-Apr-02 02:48 ± < 00:01","0.00057","0.00057","10.65","10.20","28.7","4.8 m -   11 m","1"
"(2025 GL)","2025-Apr-02 03:11 ± < 00:01","0.00291","0.00290","5.83","5.67","29.5","3.4 m -  7.6 m","0"
"(2025 FN20)","2025-Apr-02 03:53 ± < 00:01","0.04093","0.04067","18.99","18.99","24.5","34 m -   75 m","0"
"(2025 FM18)","2025-Apr-02 04:46 ± < 00:01","0.00186","0.00185","12.81","12.70","29.3","3.7 m -  8.3 m","0"
"(2023 FT)","2025-Apr-02 11:22 ± 5_22:47","0.09189","0.04818","9.83","9.83","24.9","28 m -   63 m","0"
"(2025 GG1)","2025-Apr-02 12:08 ± < 00:01","0.06663","0.06641","9.70","9.69","24.8","29 m -   65 m","0"
"(2025 FP6)","2025-Apr-02 13:26 ± < 00:01","0.04944","0.04922","10.07","10.07","25.7","19 m -   43 m","0"
"(2025 FV7)","2025-Apr-02 16:43 ± < 00:01","0.07560","0.07487","9.66","9.65","24.2","38 m -   86 m","0"
"(2025 DE6)","2025-Apr-02 18:15 ± < 00:01","0.06816","0.06815","8.51","8.51","22.4","86 m -  190 m","0"
"(2025 GN)","2025-Apr-03 01:09 ± < 00:01","0.01861","0.01858","10.54","10.53","25.2","24 m -   53 m","0"
"(2025 GB)","2025-Apr-03 01:25 ± < 00:01","0.00484","0.00484","8.42","8.35","24.8","29 m -   65 m","1"
"(2025 GM)","2025-Apr-03 08:02 ± < 00:01","0.06070","0.05998","20.32","20.32","24.8","29 m -   64 m","0"
"(2025 FA15)","2025-Apr-03 08:18 ± < 00:01","0.01390","0.01387","21.93","21.92","25.6","20 m -   45 m","0"
"(2025 FY14)","2025-Apr-03 11:33 ± < 00:01","0.00367","0.00367","6.46","6.34","27.2","9.7 m -   22 m","0"
"474163 (1999 SO5)","2025-Apr-03 12:29 ± < 00:01","0.06945","0.06945","7.47","7.47","20.8","180 m -  410 m","1"
"(2025 GJ)","2025-Apr-03 20:27 ± < 00:01","0.00969","0.00968","5.90","5.85","28.4","5.5 m -   12 m","0"
"(2025 FO16)","2025-Apr-03 22:52 ± < 00:01","0.01398","0.01391","12.47","12.45","26.3","15 m -   33 m","0"
"(2004 FC18)","2025-Apr-04 00:04 ± < 00:01","0.04702","0.04701","18.45","18.45","24.2","39 m -   87 m","0"
"(2025 FW5)","2025-Apr-04 02:48 ± < 00:01","0.03395","0.03366","20.35","20.35","23.8","46 m -  100 m","0"
"(2020 XT2)","2025-Apr-04 09:51 ± < 00:01","0.03522","0.03522","6.18","6.17","24.8","30 m -   67 m","0"
"(2025 DM53)","2025-Apr-04 09:53 ±    00:03","0.06705","0.06684","5.62","5.62","25.5","21 m -   48 m","0"
"(2023 GC2)","2025-Apr-04 14:10 ± < 00:01","0.04420","0.04419","6.25","6.24","27.3","9.3 m -   21 m","0"
"(2025 FO7)","2025-Apr-04 14:37 ±    00:03","0.07495","0.07399","11.22","11.22","24.9","28 m -   63 m","0"
"(2025 GH)","2025-Apr-04 17:26 ± < 00:01","0.00604","0.00602","20.55","20.53","24.6","31 m -   70 m","1"
"(2025 FF3)","2025-Apr-04 18:45 ± < 00:01","0.05945","0.05937","7.30","7.29","24.0","42 m -   93 m","0"
"(2017 FA102)","2025-Apr-04 21:21 ± < 00:01","0.03003","0.03003","15.16","15.15","25.5","21 m -   47 m","0"
"(2020 FH4)","2025-Apr-04 23:03 ± 2_02:10","0.03275","0.02681","3.00","2.97","28.4","5.6 m -   12 m","0"
"(2025 FU7)","2025-Apr-05 00:45 ± < 00:01","0.05066","0.05037","7.92","7.92","26.1","16 m -   36 m","0"
"(2025 BC10)","2025-Apr-05 10:12 ± < 00:01","0.02477","0.02477","22.92","22.92","19.4","350 m -  790 m","2"
"794904 (2007 SQ6)","2025-Apr-05 14:54 ± < 00:01","0.02802","0.02802","6.58","6.56","22.3","92 m -  210 m","1"
"(2025 FM12)","2025-Apr-05 20:34 ± < 00:01","0.02799","0.02787","6.99","6.98","26.9","11 m -   24 m","0"
"(2025 GD)","2025-Apr-05 20:40 ± < 00:01","0.00635","0.00634","11.67","11.64","24.7","31 m -   68 m","1"
"(2025 GS)","2025-Apr-05 21:28 ± < 00:01","0.00114","0.00114","9.94","9.70","28.3","5.8 m -   13 m","0"
"(2025 HJ1)","2025-Apr-06 00:30 ±    00:05","0.05684","0.05632","7.73","7.72","25.4","23 m -   51 m","0"
"(2025 DV40)","2025-Apr-06 03:10 ± < 00:01","0.04297","0.04297","13.11","13.10","22.8","75 m -  170 m","0"
"(2025 FO15)","2025-Apr-06 09:21 ± < 00:01","0.02885","0.02864","14.23","14.22","26.1","16 m -   36 m","0"
"(2025 GH1)","2025-Apr-06 14:07 ± < 00:01","0.03503","0.03485","4.67","4.66","25.5","21 m -   47 m","0"
"(2025 GY)","2025-Apr-06 17:31 ± < 00:01","0.00231","0.00231","9.23","9.11","28.4","5.5 m -   12 m","0"
"(2025 FX14)","2025-Apr-06 17:45 ± < 00:01","0.03381","0.03355","14.85","14.85","25.0","26 m -   59 m","0"
"(2025 FS10)","2025-Apr-07 06:21 ± < 00:01","0.07859","0.07854","5.75","5.75","24.9","28 m -   63 m","0"
"(2025 GW)","2025-Apr-07 14:35 ± < 00:01","0.00595","0.00595","7.60","7.54","27.1","10 m -   23 m","0"
"(2003 GQ22)","2025-Apr-07 20:01 ± < 00:01","0.05014","0.05014","8.90","8.89","21.3","140 m -  320 m","1"
"(2025 GK1)","2025-Apr-08 01:50 ± < 00:01","0.04194","0.04154","11.15","11.15","24.9","28 m -   62 m","0"
"(2025 HA)","2025-Apr-08 02:46 ± < 00:01","0.04930","0.04913","20.32","20.32","23.1","65 m -  150 m","0"
"(2025 FF18)","2025-Apr-08 04:12 ± < 00:01","0.02202","0.02192","7.51","7.50","25.8","18 m -   40 m","0"
"(2025 GT)","2025-Apr-08 04:29 ± < 00:01","0.01190","0.01186","13.42","13.41","26.8","11 m -   26 m","0"
"85953 (1999 FK21)","2025-Apr-08 05:52 ± < 00:01","0.08074","0.08074","18.99","18.99","18.1","0.59 km","1"
"(2025 DL28)","2025-Apr-08 06:11 ± < 00:01","0.04150","0.04149","5.60","5.59","24.7","31 m -   69 m","0"
"(2021 GA168)","2025-Apr-08 16:13 ± 2_02:22","0.08068","0.02936","26.77","26.77","28.9","4.5 m -   10 m","0"
"(2025 HJ3)","2025-Apr-08 17:43 ±    00:03","0.03246","0.03225","5.47","5.45","26.2","15 m -   34 m","0"
"(2025 FN14)","2025-Apr-08 18:00 ± < 00:01","0.03468","0.03463","7.89","7.88","24.9","28 m -   63 m","0"
"(2025 GR1)","2025-Apr-08 21:34 ±    00:05","0.01172","0.01166","10.46","10.44","25.5","21 m -   46 m","0"
"(2025 HV3)","2025-Apr-08 23:10 ±    00:09","0.08103","0.07951","10.50","10.50","24.9","28 m -   64 m","0"
"(2014 TL17)","2025-Apr-09 00:27 ± < 00:01","0.05974","0.05974","8.80","8.79","22.9","70 m -  160 m","0"
"(2025 GX)","2025-Apr-09 05:30 ± < 00:01","0.02046","0.02044","3.95","3.92","26.8","11 m -   26 m","0"
"(2025 HX1)","2025-Apr-09 13:23 ±    00:07","0.05035","0.04993","9.07","9.06","24.5","33 m -   73 m","0"
"(2023 UY3)","2025-Apr-09 16:17 ± < 00:01","0.07037","0.07037","2.99","2.98","26.9","11 m -   25 m","0"
"(2025 GA1)","2025-Apr-09 17:15 ±    00:05","0.03205","0.03178","5.27","5.25","26.8","12 m -   26 m","0"
"(2025 FG4)","2025-Apr-10 06:59 ± < 00:01","0.05848","0.05835","5.25","5.24","25.3","23 m -   52 m","0"
"(2025 FX22)","2025-Apr-10 07:25 ± < 00:01","0.02593","0.02585","12.44","12.43","26.1","16 m -   35 m","0"
"(2025 HL1)","2025-Apr-10 19:39 ±    00:13","0.01607","0.01587","6.45","6.42","27.7","7.8 m -   17 m","0"
"(2025 FT19)","2025-Apr-11 03:03 ± < 00:01","0.07789","0.07777","5.87","5.86","25.1","25 m -   56 m","0"
"(2023 HG)","2025-Apr-11 05:36 ± 9_15:46","0.00939","0.00334","8.58","8.54","27.0","10 m -   23 m","0"
"(2023 KU)","2025-Apr-11 15:35 ± < 00:01","0.00707","0.00707","18.01","17.99","22.3","93 m -  210 m","2"
"(2015 FS33)","2025-Apr-12 01:14 ± < 00:01","0.03750","0.03750","20.70","20.70","22.6","0.066±0.013 km","1"
"(2025 FP10)","2025-Apr-12 03:55 ± < 00:01","0.02774","0.02774","13.96","13.95","18.9","440 m -  990 m","2"
"(2025 GK)","2025-Apr-13 02:50 ± < 00:01","0.04438","0.04397","11.94","11.93","25.0","27 m -   60 m","0"
"(2025 HO1)","2025-Apr-13 09:23 ±    00:04","0.02558","0.02531","8.30","8.28","27.5","8.3 m -   19 m","0"
"(2025 FV13)","2025-Apr-13 10:43 ± < 00:01","0.04664","0.04658","5.03","5.02","25.5","21 m -   47 m","0"
"(2023 RX1)","2025-Apr-13 10:44 ±    03:39","0.04640","0.04633","1.38","1.34","30.3","2.4 m -  5.3 m","0"
"(2025 GP1)","2025-Apr-14 02:13 ± < 00:01","0.01463","0.01460","5.90","5.87","26.0","17 m -   37 m","0"
"(2023 UH)","2025-Apr-15 00:21 ±    02:54","0.02262","0.02026","10.96","10.95","26.1","16 m -   35 m","0"
"(2025 HD)","2025-Apr-15 04:20 ± < 00:01","0.02766","0.02760","6.80","6.79","25.4","23 m -   51 m","0"
"(2022 UO)","2025-Apr-15 04:35 ± 3_02:01","0.05069","0.02835","16.19","16.19","26.5","13 m -   29 m","0"
"(2023 TV9)","2025-Apr-15 05:36 ±    00:01","0.09591","0.09591","8.17","8.17","24.7","30 m -   68 m","0"
"(2025 HW)","2025-Apr-15 07:19 ± < 00:01","0.01864","0.01852","10.05","10.04","26.7","12 m -   28 m","0"
"(2025 GQ1)","2025-Apr-15 10:34 ± < 00:01","0.00703","0.00703","9.83","9.79","25.8","18 m -   40 m","0"
"(2025 DC36)","2025-Apr-15 14:57 ± < 00:01","0.03630","0.03630","4.93","4.91","23.8","46 m -  100 m","0"
"(2025 GS1)","2025-Apr-15 21:36 ± < 00:01","0.00025","0.00025","10.54","9.50","29.4","3.4 m -  7.7 m","1"
"(2025 HC2)","2025-Apr-15 23:59 ±    00:01","0.02767","0.02755","9.78","9.77","25.9","17 m -   39 m","0"
"(2012 HF2)","2025-Apr-16 04:18 ± < 00:01","0.04999","0.04999","12.58","12.57","24.7","30 m -   68 m","0"
"(2025 HB2)","2025-Apr-16 06:56 ±    00:02","0.09681","0.09517","16.50","16.50","25.1","26 m -   58 m","0"
"(2011 VG9)","2025-Apr-16 12:24 ± < 00:01","0.03115","0.03115","23.76","23.75","22.4","89 m -  200 m","1"
"(2025 FJ22)","2025-Apr-17 03:40 ±    00:01","0.07805","0.07796","3.86","3.86","25.6","20 m -   44 m","0"
"(2022 JV1)","2025-Apr-17 05:30 ± 1_21:35","0.06463","0.06324","5.34","5.33","27.5","8.3 m -   19 m","0"
"(2025 HQ)","2025-Apr-17 08:45 ± < 00:01","0.01374","0.01368","9.41","9.39","26.4","14 m -   31 m","0"
"(2025 HD3)","2025-Apr-17 10:36 ± < 00:01","0.03379","0.03328","12.71","12.70","25.2","24 m -   53 m","0"
"(2025 GV)","2025-Apr-17 11:09 ± < 00:01","0.04075","0.04052","17.38","17.37","24.7","31 m -   68 m","0"
"(2017 RN16)","2025-Apr-17 11:48 ± 6_19:03","0.02801","0.02195","8.66","8.65","28.9","4.4 m -  9.9 m","0"
"(2021 PQ6)","2025-Apr-17 12:10 ± < 00:01","0.05719","0.05719","10.56","10.55","22.9","70 m -  160 m","0"
"(2025 HZ2)","2025-Apr-17 13:58 ±    00:02","0.07678","0.07239","18.36","18.36","25.5","21 m -   47 m","0"
"(2025 FL20)","2025-Apr-17 15:29 ± < 00:01","0.03351","0.03338","3.37","3.35","27.1","10 m -   23 m","0"
"(2025 HU1)","2025-Apr-17 17:20 ± < 00:01","0.01777","0.01764","7.84","7.82","27.9","7.1 m -   16 m","0"
"(2025 HH)","2025-Apr-17 23:24 ± < 00:01","0.00019","0.00019","9.27","7.57","30.8","1.9 m -  4.2 m","0"
"(2023 HU3)","2025-Apr-18 05:27 ± < 00:01","0.07956","0.07956","18.42","18.42","25.0","26 m -   59 m","0"
"(2025 HQ1)","2025-Apr-18 06:52 ± < 00:01","0.01446","0.01442","6.78","6.75","25.8","19 m -   42 m","0"
"(2025 HR)","2025-Apr-18 12:19 ± < 00:01","0.01504","0.01500","12.48","12.47","26.4","14 m -   32 m","0"
